country;name
AE;Ras Al Khaymah
AE;Neutral Zone
AE;Neutral Zone
AF;Hirat
AF;Bamyan
AF;Jawzjan
AF;Ghor
AF;Sari Pul
AF;Hilmand
AF;Nimroz
AF;Uruzgan
AF;Uruzgan
AF;Zabul
AF;Khost
AF;Nuristan
AF;Kunar
AF;Parwan
AF;Logar
AF;Parwan
AF;Wardak
AF;Paktya
AI;
AI;The Quarter
AI;The Valley
AI;West End
AO;Lunda Norte
AO;Lunda Sul
AO;Cuanza Norte
AO;Cuanza Sul
AO;Cuando Cubango
AQ;Antarctica
AQ;
AS;Manu's
AS;Rose Atoll
AS;Swain's Island
AU;Macquarie Island
AU;Norfolk Island
AZ;Ağstafa
AZ;Daşkəsən
AZ;Gədəbəy
AZ;Gəncə
AZ;Xanlar
AZ;Goranboy
AZ;Kəlbəcər
AZ;Mingəçevir
AZ;Qazax
AZ;Samux
AZ;Bakı
AZ;Ağdam
AZ;Ağdaş
AZ;Ağsu
AZ;Hajigabul
AZ;Beyləqan
AZ;Cəbrayıl
AZ;Dəvəçi
AZ;İsmayıllı
AZ;Kürdəmir
AZ;Lankaran
AZ;Qobustan
AZ;Şamaxı
AZ;Sumqayıt
AZ;Xizı
AZ;Yardımlı
AZ;Zərdab
AZ;Ağcabədi
AZ;Balakən
AZ;Qəbələ
AZ;Oğuz
AZ;Qax
AZ;Şəki
AZ;Quba
AZ;Qusar
AZ;Zaqatala
AZ;Qubadli
AZ;Tərtər
AZ;Xocalı
AZ;Sədərək
AZ;Şərur
AZ;Naxçıvan
AZ;Şahbuz
AZ;Stepanakert
AZ;Lankaran
AZ;Şəki
AZ;Şuşa
BA;West Bosnia
BA;Una-Sana
BA;Central Bosnia
BA;West Herzegovina
BA;Herzegovina-Neretva
BA;Tuzla
BA;Zenica-Doboj
BA;Sarajevo
BA;Bosnian Podrinje
BA;Posavina
BA;Doboj
BA;Banja Luka
BA;Brčko Distrikt
BA;Bijeljina
BA;Vlasenica
BA;Sarajevo-romanija
BA;Foča
BA;Trebinje
BF;Mou Houn
BF;Bazéga
BF;Komoé
BF;Komondjari
BG;Kardzhali
BG;Targovishte
BH;Al Wusţá
BH;Al Muḩarraq
BJ;Kouffo
BJ;Atakora
BM;City of Hamilton
BM;City of Saint George
BM;Smith's
BS;Crooked Island and Long Cay
BW;South-East
BW;Selebi-Phikwe
BW;Sowa
BY;City of Minsk
BZ;
CA;
CA;Québec
CD;Orientale
CD;Bandundu
CD;Kasaï-Occidental
CD;Bas-Congo
CD;Kasaï-Oriental
CD;Katanga
CG;Pointe Noire
CH;Zürich
CI;Bafing
CI;Dix-Huit Montagnes
CI;Worodougou
CI;Marahoué
CI;Fromager
CI;Haut-Sassandra
CI;Sud-Bandama
CI;Agnéby
CI;N'zi-Comoé
CI;Moyen-Cavally
CI;Moyen-Comoe
CI;Sud-Comoé
CK;Atiu
CK;Aitutaki
CK;Mangaia
CK;Rarotonga
CK;Mitiaro
CK;Mauke
CK;Palmerston
CK;Pukapuka
CK;Rakahanga
CK;Manihiki
CK;Penrhyn
CL;Aisén del General Carlos Ibáñez del Campo
CL;Arica y Parinacota
CL;La Araucanía
CN;Paracel Islands
CO;
CO;Bogota
CU;
CU;Ciudad de la Habana
CZ;Prague
DE;Baden-Württemberg
DJ;
DJ;Ali Sabieh
DK;Midtjylland
DK;Syddanmark
DK;Nordjylland
DK;Hovedstaden
DO;Hermanas
EC;Zamora Chinchipe
EC;Bolivar
EC;Los Rios
EC;Manabi
EC;Morona Santiago
EC;Sucumbios
EE;
EG;
EG;Al Gharbiyah
EG;Al Isma`iliyah
EG;Al Minufiyah
EG;Al Qahirah
EG;Al Qalyubiyah
EG;Ash Sharqiyah
EG;Ad Daqahliyah
EG;Bur Sa`id
EG;Dumyat
EG;Matruh
EG;Al Fayyum
EG;Al Iskandariyah
EG;Al Jizah
EG;Al Minya
EG;Bani Suwayf
EG;Aswan
EG;Asyut
EG;Al Wadi at Jadid
EG;Qina
EG;Suhaj
EG;Janub Sina'
EG;Shamal Sina'
EG;Luxor
EH;Western Sahara
ER;
ES;
ES;Gerona
ES;Gipuzkoa
ES;La Coruña
ES;Lérida
ES;Orense
ET;Oromiya
FI;Northern Savonia
FI;Northern Ostrobothnia
FI;Southern Ostrobothnia
FI;Pirkanmaa
FI;Southern Savonia
FI;Finland Proper
FJ;
FR;Martinique
FR;Guyane française
FR;La Réunion
FR;Mayotte
FR;Guadeloupe
FR;Haute-Rhin
FR;Meurhe-et-Moselle
FR;Seien-et-Marne
GB;North Ayshire
GB;Barking and Dagenham
GB;Bexley
GB;Brent
GB;Bromley
GB;Camden
GB;Croydon
GB;Ealing
GB;Enfield
GB;Greenwich
GB;Hammersmith and Fulham
GB;Hounslow
GB;Islington
GB;Kensington and Chelsea
GB;Merton
GB;Redbridge
GB;Richmond upon Thames
GB;Sutton
GB;Tower Hamlets
GB;Waltham Forest
GB;Wandsworth
GB;Westminster
GB;Derry
GB;Omagh
GB;Armagh
GB;Newry and Mourne
GB;Banbridge
GB;Craigavon
GB;Dungannon
GB;Lisburn
GB;Cookstown
GB;Antrim
GB;Magherafelt
GB;Ballymena
GB;Larne
GB;Carrickfergus
GB;Newtownabbey
GB;North Down
GB;Down
GB;Coleraine
GB;Ballymoney
GB;Limavady
GB;Castlereagh
GB;Strabane
GB;Fermanagh
GB;Ards
GB;Havering
GB;Orkney
GB;Hillingdon
GB;Kingston upon Thames
GB;Hackney
GB;Haringey
GB;Harrow
GB;Lambeth
GB;Lewisham
GB;Newham
GB;Southwark
GB;Moyle
GB;City
GB;Merseyside
GB;Royal Borough of Windsor and Maidenhead
GB;Barnet
GD;Carriacou and Petite Martinique
GE;Racha-Lechkhumi-Kvemo Svaneti
GG;
GH;Brong Ahafo
GL;Pituffik
GL;Nationalparken
GN;Boke
GQ;Wele-Nzás
GR;Ionioi Nisoi
GR;Peloponnisos
GR;Dytiki Ellada
GR;Dytiki Makedonia
GR;Thessalia
GR;Ipeiros
GR;Voreio Aigaio
GR;Stereá Elláda
GR;Kentriki Makedonia
GR;Anatoliki Makedonia kai Thraki
GR;Notio Aigaio
GT;Quezaltenango
GU;Guam
HM;eard Island and McDonald Islands
HR;
HR;Dubrovacko-Neretvanska
HR;Karlovacka
HR;Licko-Senjska
HR;Sisacko-Moslavacka
HR;Zagrebacka
HR;Osjecko-Baranjska
HR;Viroviticko-Podravska
HR;Medimurska
HT;Grand'Anse
HU;Gyor-Moson-Sopron
HU;Gyôr
HU;Hódmezôvásárhely
ID;
ID;Irian Jaya Barat
IE;
IE;South Tipperary
IE;South Dublin
IE;Fingal
IE;Dún Laoghaire–Rathdown
IE;North Tipperary
IM;Isle of Man
IN;
IN;Orissa
IN;Andaman and Nicobar
IR;
IS;Reykjavík
IS;Vestfirðir
IS;Austurland
IS;Norðurland vestra
IS;Norðurland eystra
IS;Suðurland
IS;Höfuðborgarsvæði
IS;Vesturland
IT;Modena
IT;Reggio Emilia
IT;Parma
IT;Piacenza
IT;Bologna
IT;Ferrara
IT;Ravenna
IT;Forlì-Cesena
IT;Rimini
IT;Genova
IT;Savona
IT;Imperia
IT;La Spezia
IT;Carbonia-Iglesias
IT;Medio Campidano
IT;Oristrano
IT;Sassari
IT;Olbia-Tempio
IT;Nuoro
IT;Ogliastra
IT;Cagliari
IT;Matera
IT;Potenza
IT;Cosenza
IT;Crotene
IT;Catanzaro
IT;Vibo Valentia
IT;Reggio Calabria
IT;Caserta
IT;Napoli
IT;Benevento
IT;Avellino
IT;Salerno
IT;Campobasso
IT;Isernia
IT;Bari
IT;Foggia
IT;Barletta-Andria Trani
IT;Brindisi
IT;Lecce
IT;Taranto
IT;Trapani
IT;Palermo
IT;Messina
IT;Enna
IT;Catania
IT;Siracusa
IT;Ragusa
IT;Caltanissetta
IT;Agrigento
IT;Roma
IT;Viterbo
IT;Rieti
IT;Frosinone
IT;Latina
IT;Ancona
IT;Pesaro e Urbino
IT;Macerata
IT;Fermo
IT;Ascoli Piceno
IT;Perugia
IT;Terni
IT;Aoste
IT;Udine
IT;Pordenone
IT;Gorizia
IT;Trieste
IT;Bozen
IT;Trento
IT;Venezia
IT;Rovigo
IT;Padova
IT;Verona
IT;Vicenza
IT;Treviso
IT;Belluno
JE;Jersey
JP;
JP;Hyōgo
JP;Gunma
KE;Coast
KE;Central
KE;Nyanza
KE;Eastern
KE;Rift Valley
KE;Western
KE;North-Eastern
KG;Chuy
KH;Batdâmbâng
KH;Kaôh Kong
KH;Pouthisat
KH;Siemréab
KH;Otdar Mean Chey
KH;Kâmpóng Chhnang
KH;Preah Vihéar
KH;Stœng Trêng
KH;Kep
KH;Krong Preah Sihanouk
KH;Svay Rieng
KI;Kiribati
KI;
KN;Saint John Capesterre
KN;Saint Paul Capesterre
KP;
KP;P'yŏngyang
KP;Ryanggang
KR;
KR;North Chungcheong
KR;Gangwon
KR;Gyeonggi
KR;North Jeolla
KR;South Chungcheong
KR;South Gyeongsang
KR;South Jeolla
KR;North Gyeongsang
KR;Jeju
KW;Al Asimah
KW;Al Farwaniyah
KW;Mubarak Al-Kabeer
KW;Hawalli
KY;Cayman Islands
KZ;
KZ;Almaty City
LB;An Nabatiyah
LC;Dauphin
LC;Praslin
LK;Kægalla
LV;Balvu
LV;Kraslavas
LV;Ludzas
LV;Rezeknes
LV;Aluksne
LV;Valkas
LV;Cesu
LV;Jekabpils
LV;Preilu
LV;Riga
LV;Rezekne
LV;Kuldigas
LV;Alsungas
LV;Brocenu
LV;Skrundas
LV;Vainodes
LV;Aizputes
LV;Priekules
LV;Grobinas
LV;Nicas
LV;Rucavas
LV;Pavilostas
LV;Durbes
LV;Dundagas
LV;Rojas
LV;Mersraga
LV;Neretas
LV;Jekabpils
LV;Salas
LV;Plavinu
LV;Kokneses
LV;Aizkraukles
LV;Skriveru
LV;Jaunjelgavas
LV;Viesites
LV;Aknistes
LV;Vecumnieku
LV;Iecavas
LV;Ozolnieku
LV;Rundales
LV;Tervetes
LV;Auces
LV;Rugaju
LV;Vilakas
LV;Baltinavas
LV;Karsavas
LV;Ciblas
LV;Zilupes
LV;Dagdas
LV;Aglonas
LV;Ilukstes
LV;Livanu
LV;Varkavas
LV;Riebinu
LV;Vilanu
LV;Alojas
LV;Babites
LV;Baldones
LV;Carnikavas
LV;Engures
LV;Garkalnes
LV;Ikskiles
LV;Incukalna
LV;Jurmala
LV;Kandavas
LV;Keguma
LV;Kekavas
LV;Krimuldas
LV;Lielvardes
LV;Malpils
LV;Marupes
LV;Olaines
LV;Ropazu
LV;Salacgrivas
LV;Saulkrastu
LV;Sejas
LV;Siguldas
LV;Stopinu
LV;Amatas
LV;Apes
LV;Beverinas
LV;Burtnieku
LV;Cesvaines
LV;Erglu
LV;Jaunpiebalgas
LV;Kocenu
LV;Ligatnes
LV;Lubanas
LV;Mazsalacas
LV;Nauksenu
LV;Pargaujas
LV;Priekulu
LV;Strencu
LV;Rujienas
LV;Vecpiebalgas
LV;Smiltenes
LV;Raunas
LV;Varaklanu
LY;Ghadamis
LY;Ash Shati'
LY;Mizdah
LY;Tajura' wa an Nawahi al Arba
LY;Ajdabiya
LY;Al Qubbah
LY;Wadi al Hayaa
MA;Tanger - Tétouan
MA;Fès - Boulemane
MA;Taza - Al Hoceima - Taounate
MA;Gharb - Chrarda - Béni Hssen
MA;Chaouia - Ouardigha
MA;Grand Casablanca
MA;Rabat - Salé - Zemmour - Zaer
MA;Meknès - Tafilalet
MA;Tadla - Azilal
MA;Oriental
MA;Souss - Massa - Draâ
MA;Marrakech - Tensift - Al Haouz
MA;Doukkala - Abda
MA;Laâyoune - Boujdour - Sakia El Hamra
MA;Guelmim - Es-Semara
MA;Oued el Dahab
MD;Donduseni
MD;Stîngă Nistrului
MD;Calarasi
MD;Grigoriopol
MD;Hîncesti
MD;Causeni
MD;Ştefan Voda
MD;Camenca
ME;Nikšic
MF;St. Martin
MG;Alaotra-Mangoro
MG;Amoron'i Mania
MG;Analamanga
MG;Analanjirofo
MG;Androy
MG;Anosy
MG;Atsimo-Andrefana
MG;Atsimo-Atsinanana
MG;Atsinanana
MG;Betsiboka
MG;Boeny
MG;Bongolava
MG;Diana
MG;Haute Matsiatra
MG;Ihorombe
MG;Itasy
MG;Melaky
MG;Menabe
MG;Sava
MG;Sofia
MG;Vakinankaratra
MG;Vatovavy-Fitovinany
MH;Railik Chain
MH;Ratak Chain
MK;Debarca
MK;Skopje
MK;Probistip
MK;Radovis
MK;Vardar
MK;Saraj
MK;Sopiste
MK;Northeastern
MK;Studenicani
MK;Cair
MK;Vraneštica
MK;Aracinovo
MK;Butel
MK;Caška
MK;Centar
MK;Cešinovo-Obleševo
MK;Cucer Sandevo
MK;Gazi Baba
MK;Konce
MK;Karpoš
MK;Aerodrom
MK;Kisela Voda
MK;Kocani
MK;Brod
MK;Pelagonia
MK;Gjorce Petrov
MK;Zajas
MK;Centar župa
MK;Drugovo
MK;Kicevo
MK;Mavrovo and Rostusa
MK;Oslomej
MK;Polog
MK;Jegunovce
MK;Southeastern
MK;Southeastern
MK;Delcevo
MK;Phecevo
MK;Šuto Orizari
MM;
MN;Govĭ-Sümber
MR;
MR;Nouakchott
MT;Imtarfa
MT;Rabat
MT;Mġarr
MT;Mellieħa
MT;St. Paul's Bay
MT;Għargħur
MT;St. Julian's
MT;San Ġwann
MT;Gżira
MT;Piet
MT;Ħamrun
MT;Żebbuġ
MT;Siġġiewi
MT;Xgħajra
MT;Senglea
MT;Cospicua
MT;Żabbar
MT;Żejtun
MT;Marsaskala
MT;Santa Luċija
MT;Għaxaq
MT;Birżebbuġa
MT;Żurrieq
MT;Saint Lawrence
MT;Għarb
MT;Għasri
MT;Żebbuġ
MT;Xagħra
MT;Kerċem
MT;Victoria
MT;Fontana, Gozo
MT;Għajnsielem
MU;Agaléga
MU;Beau Bassin-Rose Hill
MU;Cargados Carajos Shoals
MU;Curepipe
MU;Port Louis city
MU;Quatre Bornes
MU;Vacoas-Phoenix
MV;Haa Alifu
MV;Haa Dhaalu
MV;Lhaviyani
MV;Alifu Alifu
MV;Alifu Dhaalu
MV;Malé
MV;Vaavu
MV;Dhaalu
MV;Gaafu Alifu
MV;Gaafu Dhaalu
MX;
MX;Distrito Federal
MY;
MY;Trengganu
MZ;Zambezia
NA;Kavango
NA;Caprivi
NC;
NG;Nassarawa
NI;Rio San Juan
NI;Atlántico Sur
NI;Atlántico Norte
NL;
NL;Saba
NL;St. Eustatius
NL;Bonaire
NO;Bouvet Island
NO;
NO;Svalbard
NP;Gandaki
NP;Bheri
NP;Dhawalagiri
NP;Karnali
NP;Lumbini
NP;Mahakali
NP;Seti
NP;Bagmati
NP;Janakpur
NP;Narayani
NP;Sagarmatha
NP;Bhojpur
NP;Mechi
NP;Rapti
NZ;Gisborne District
NZ;Marlborough District
NZ;Nelson City
NZ;Tasman District
NZ;Chatham Islands Territory
NZ;Kermadec Islands
NZ;Tokelau
NZ;Bounty Islands
NZ;Three Kings Islands
NZ;Antipodes Islands
NZ;Campbell Islands
NZ;Auckland Islands
NZ;The Snares
OM;Ash Sharqiyah South
OM;Al Batnah North
OM;Al Batnah South
PA;Panama
PA;Ngöbe Buglé
PE;Lima Province
PF;Tuamotu-Gambier
PF;Austral Islands
PG;
PH;
PH;Zamboanga Sibugay
PH;Mountain Province
PH;Mindoro Occidental
PH;Mindoro Oriental
PH;Zamboanga
PH;Mandaue
PH;Lapu-Lapu
PH;Bacolod
PH;Davao
PH;General Santos
PH;Iligan
PH;Cagayan de Oro
PH;Butuan
PH;Puerto Princesa
PH;Ormoc
PH;Tacloban
PH;Naga
PH;Santiago
PH;Angeles
PH;Baguio
PH;Olongapo
PH;Dagupan
PH;Mandaluyong City
PH;Manila
PH;Navotas
PH;Caloocan
PH;Malabon
PH;Valenzuela
PH;Quezon City
PH;Marikina
PH;San Juan
PH;Pasig
PH;Makati
PH;Pasay
PH;Paranaque
PH;Las Pinas
PH;Muntinlupa
PH;Taguig
PH;Pateros
PH;Lucena
PK;Northern Areas
PK;N.W.F.P.
PL;Warmian-Masurian
PL;Lower Silesian
PL;Kuyavian-Pomeranian
PL;Silesian
PL;Łódź
PL;Lesser Poland
PR;Puerto Rico
PS;Gaza Strip
PW;Hatobohei
QA;Ar Rayyān
RO;Botosani
RO;Bistrita-Nasaud
RO;Brasov
RS;Nišavski
RS;Raški
RS;Šumadijski
RU;
RU;Chukchi Autonomous Okrug
RU;City of St. Petersburg
RU;Moskovsskaya
RU;Chita
RU;Sakha (Yakutia)
RU;Maga Buryatdan
SA;
SA;Najran
SA;Ar Riyad
SA;Ash Sharqiyah
SA;Al Madinah
SA;Al Quassim
SA;Ha'il
SA;Tabuk
SA;Al Hudud ash Shamaliyah
SA;Al Bahah
SA;`Asir
SA;Jizan
SB;
SB;Makira
SB;Capital Territory (Honiara)
SC;Anse Etoile
SC;Bel Ombre
SC;Grand'Anse
SC;Grand'Anse Praslin
SD;Southern Darfur
SD;Eastern Darfur
SD;Western Darfur
SD;South Kordufan
SD;North Kordufan
SE;
SG;Central Singapore
SG;South West
SG;North West
SG;North East
SG;South East
SI;Velike Lašče
SI;Zasavska
SI;Zrece
SI;Gorenja vas-Poljane
SI;Škofja Loka
SI;Tržič
SI;Železniki
SI;Žiri
SI;Ajdovščina
SI;Divaca
SI;Hrpelje-Kozina
SI;Miren-Kostanjevica
SI;Sežana
SI;Gorišnica
SI;Juršinci
SI;Ormož
SI;Turnišče
SI;Zavrc
SI;Šalovci
SI;Hodoš
SI;Dobrova-Polhov Gradec
SI;Domžale
SI;Kocevje
SI;Loška dolina
SI;Luce
SI;Majšperk
SI;Ravne na Koroškem
SI;Ruše
SI;Šentjur pri Celju
SI;Žalec
SI;Miklavž na Dravskem polju
SI;Hoce-Slivnica
SI;Trnovska vas
SI;Žetale
SI;Žužemberk
SI;Mirna Pec
SI;Braslovce
SI;Sodražica
SI;Solcava
SI;Podcetrtek
SI;Žirovnica
SI;Nova Goriška
SI;Šempeter-Vrtojba
SI;Črenšovci
SI;Križevci
SI;Veržej
SI;Sveti Andraž v Slovenskih Goricah
SI;Razkrižje
SI;Apace
SI;Šmartno in Litiji
SI;Rogašovci
SI;Brežice
SI;Krsko
SI;Črna na Koroškem
SI;Crnomelj
SI;Ivancna Gorica
SI;Kidricevo
SI;Krško
SI;Laško
SI;Loški Potok
SI;Mengeš
SI;Mežica
SI;Moravce
SI;Race-Fram
SI;Radece
SI;Rogaška Slatina
SI;Semic
SI;Šenčur
SI;Šentilj
SI;Šentjernej
SI;Škocjan
SI;Škofljica
SI;Šmarje pri Jelšah
SI;Šmartno ob Paki
SI;Šoštanj
SI;Starše
SI;Štore
SK;Banskobystrický
SK;Žilinský
SK;Trenciansky
SK;Košický
SK;Prešov
SY;Tartus
SY;Homs (Hims)
SY;Hasaka (Al Haksa)
SY;Dayr Az Zawr
SY;As Suwayda'
SY;Dar`a
SY;UNDOF
TC;Middle Caicos
TC;North Caicos
TC;Providenciales and West Caicos
TC;South Caicos and East Caicos
TC;Grand Turk
TC;Salt Cay
TD;Ennedi
TD;Barh El Gazel
TF;Archipel des Kerguelen
TF;Archipel des Crozet
TF;Iles Saint-Paul et Nouvelle-Amsterdam
TF;Iles Eparses de l'ocean Indien
TG;Centre
TH;
TJ;Tadzhikistan Territories
TL;Liquica
TL;Lautem
TN;
TN;Manubah
TR;
TR;Iğdir
TT;Eastern Tobago
TT;Western Tobago
TT;Rio Claro-Mayaro
TT;San Juan-Laventille
TT;Couva-Tabaquite-Talparo
TT;Penal-Debe
TV;Tuvalu
TV;
TW;Lienchiang
UA;Sevastopol
UG;Maracha
UG;Luweero
UG;Bukwa
UG;Mitooma
UM;Wake Atoll
VA;Vatican
VE;
VN;
VN;Đông Bắc
VN;Hải Phòng
VN;Đồng Bằng Sông Hồng
VN;Ha Noi
VN;Đắk Nông
VN;Quàng Nam
VN;Thừa Thiên - Huế
VN;Đông Nam Bộ
VU;Tafea
VU;Penama
VU;Shefa
WF;`Uvea
WS;A'ana
WS;Va'a-o-Fonoti
WS;Fa'asaleleaga
WS;Gaga'emauga
WS;Gaga'ifomauga
WS;Satupa'itea
YE;
YE;Sana'a
YE;Amanat Al Asimah
